,CVE_DOC,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
1201,F39387,1208.25,93.2,93.2,1208.25,93.2,1115.05
1202,F39388,1208.25,93.2,93.2,1208.25,93.2,1115.05
1203,F39390,2529.4,108.0,663.12,2576.7,625.1,1866.28
1204,F39396,608.36,0.0,44.13,2433.44,176.5,564.24
1205,F39396,636.38,0.0,42.57,2545.52,170.28,593.81
1206,F39399,1070.6,0.0,175.33,2141.2,350.67,895.27
1207,F39400,462.0,300.0,300.0,1848.0,1200.0,162.0
1208,F39403,125.0,48.2,48.2,250.0,96.4,76.8
1209,F39404,545.0,0.0,38.42,1090.0,76.84,506.58
1210,F39404,585.0,53.33,53.33,1170.0,106.65,531.67
1211,F39404,488.0,126.71,126.71,976.0,253.43,361.29
1212,F39405,1098.74,235.35,235.35,6592.44,1412.1,863.39
1213,F39405,1177.25,277.2,277.2,1177.25,277.2,900.05
1214,F39411,601.5,145.23,145.23,601.5,145.23,456.27
1215,F39412,942.7,108.0,219.9,5901.45,1047.18,684.8
1216,F39420,691.7,265.64,265.64,1383.4,531.27,426.06
1217,F39420,521.04,205.2,205.2,2084.16,820.82,315.84
1218,F39420,350.41,125.68,125.68,1401.64,502.72,224.73
1219,F39422,378.26,99.22,99.22,756.52,198.45,279.04
1220,F39424,132.06,0.0,21.33,2641.2,426.55,110.73
1221,F39425,155.0,78.68,78.68,155.0,78.68,76.32
1222,F39426,942.7,108.0,219.9,4769.0,1931.62,684.8
1223,F39428,745.69,78.38,78.38,745.69,78.38,667.31
1224,F39432,1089.35,332.12,332.12,1089.35,332.12,757.23
1225,F39433,1089.35,332.12,332.12,1089.35,332.12,757.23
1226,F39436,942.7,108.0,219.9,2576.7,625.1,684.8
1227,F39437,768.5,63.09,63.09,768.5,63.09,705.41
1228,F39438,155.0,62.95,62.95,310.0,125.91,92.05
1229,F39441,623.37,69.55,69.55,1246.74,139.11,553.82
1230,F39442,153.25,62.95,62.95,153.25,62.95,90.3
1231,F39444,691.68,265.64,265.64,1383.36,531.27,426.04
1232,F39447,429.25,81.99,81.99,429.25,81.99,347.26
1233,F39449,986.0,0.0,235.75,5916.0,1414.5,750.25
1234,F39450,545.0,63.37,63.37,2180.0,253.47,481.63
1235,F39454,1075.31,521.55,521.55,1075.31,521.55,553.76
1236,F39455,175.31,76.08,76.08,2629.65,1141.15,99.23
1237,F39455,611.8,211.36,211.36,1835.4,634.09,400.44
1238,F39456,942.7,0.0,544.48,9499.6,544.48,684.8
1239,F39468,155.0,62.95,62.95,155.0,62.95,92.05
1240,F39470,120.0,48.2,48.2,120.0,48.2,71.8
1241,F39471,753.5,127.11,127.11,4521.0,762.68,626.39
1242,F39490,812.93,0.0,145.02,1625.86,290.03,667.91
1243,F39491,1364.0,0.0,0.0,1364.0,0.0,1364.0
1244,F39493,155.0,62.95,62.95,620.0,251.81,92.05
1245,F39494,792.11,131.45,131.45,7921.1,1314.54,660.66
1246,F39494,798.79,137.63,137.63,5591.53,963.38,661.16
1247,F39494,984.15,0.0,203.69,2576.7,625.1,780.46
1248,F39494,699.47,126.29,126.29,699.47,126.29,573.18
1249,F39499,669.55,98.82,98.82,2678.2,395.3,570.73
1250,F39499,669.55,112.34,112.34,2678.2,449.36,557.21
1251,F39499,669.55,99.83,99.83,4017.3,598.95,569.72
1252,F39500,2481.59,0.0,0.0,4963.18,0.0,684.8
1253,F39503,942.7,0.2,0.2,2576.7,0.2,684.8
1254,F39509,155.0,51.36,51.36,310.0,102.71,103.64
1255,F39509,190.0,68.2,68.2,380.0,136.41,121.8
1256,F39511,2566.15,108.0,219.9,5132.3,2328.4,1401.95
1257,F39513,2042.41,0.0,663.74,8169.64,2654.96,1378.67
1258,F39519,486.0,18.45,18.45,486.0,18.45,467.55
1259,F39523,1532.05,339.91,339.91,3064.1,679.81,1192.14
1260,F39524,942.7,0.0,442.5,2576.7,1327.51,684.8
1261,F39525,1800.18,108.0,676.87,2576.7,625.1,1123.31
1262,F39526,462.0,278.0,278.0,462.0,278.0,184.0
1263,F39526,325.0,96.83,96.83,325.0,96.83,228.17
1264,F39531,635.97,89.76,89.76,635.97,89.76,546.21
1265,F39531,730.17,72.34,72.34,730.17,72.34,657.83
1266,F39539,439.66,420.67,420.67,439.66,420.67,18.99
1267,F39541,2359.7,401.65,401.65,9438.8,1606.58,1958.05
1268,F39542,976.0,385.09,385.09,1952.0,770.19,590.91
1269,F39542,1475.3,316.19,316.19,2576.7,625.1,1159.11
1270,F39543,900.0,0.0,0.0,900.0,0.0,900.0
1271,F39543,945.0,518.43,518.43,945.0,518.43,426.57
1272,F39546,2914.4,469.53,219.9,2576.7,625.1,1983.38
1273,F39549,951.04,208.88,208.88,2853.12,626.65,742.16
1274,F39550,120.0,0.0,67.57,600.0,337.86,52.43
1275,F39554,1086.48,67.56,67.56,3259.44,202.67,1018.92
1276,F39555,315.0,57.6,57.6,630.0,115.2,257.4
1277,F39560,942.7,0.0,219.9,2576.7,625.1,684.8
1278,F39564,1417.1,0.0,408.31,1417.1,408.31,1008.79
1279,F39566,720.0,129.7,129.7,4320.0,778.18,590.3
1280,F39568,863.14,257.11,257.11,1726.28,514.21,606.03
1281,F39569,650.0,325.78,325.78,3250.0,1628.92,324.22
1282,F39569,825.0,332.9,332.9,4125.0,1664.51,492.1
1283,F39571,610.0,197.83,197.83,610.0,197.83,412.17
1284,F39571,610.0,178.15,178.15,610.0,178.15,431.85
1285,F39571,610.0,171.15,171.15,610.0,171.15,438.85
1286,F39574,120.13,48.2,48.2,120.13,48.2,71.93
1287,F39574,165.51,48.1,48.1,165.51,48.1,117.41
1288,F39576,942.7,0.0,654.34,2576.7,654.34,684.8
1289,F39577,519.0,78.24,78.24,1038.0,156.48,440.76
1290,F39582,993.12,42.65,42.65,1986.24,85.31,950.47
1291,F39584,1366.13,394.88,394.88,8196.78,2369.31,971.25
1292,F39586,1545.0,0.0,89.98,9270.0,539.86,1455.02
1293,F39587,983.0,129.28,129.28,2949.0,387.85,853.72
1294,F39588,435.72,153.85,153.85,435.72,153.85,281.87
1295,F39591,1699.0,0.0,251.47,2576.7,2514.71,1447.53
1296,F39592,942.7,0.0,277.5,2576.7,277.5,684.8
1297,F39595,942.7,108.0,219.9,6591.1,1541.46,684.8
1298,F39597,1289.0,519.45,519.45,1289.0,519.45,769.55
1299,F39597,862.5,331.49,331.49,1725.0,662.99,531.01
1300,F39597,462.0,153.85,153.85,462.0,153.85,308.15
1301,F39598,1223.38,264.62,264.62,1223.38,264.62,958.76
1302,F39600,1045.31,199.05,199.05,3135.93,597.15,846.26
1303,F39603,1270.84,0.0,330.66,3812.52,991.99,940.18
1304,F39605,669.0,97.49,97.49,1338.0,194.99,571.51
1305,F39608,125.0,48.2,48.2,250.0,96.4,76.8
1306,F39608,155.0,63.31,63.31,310.0,126.62,91.69
1307,F39608,190.0,65.16,65.16,190.0,65.16,124.84
1308,F39609,561.7,0.0,61.77,2808.5,308.87,499.93
1309,F39609,542.65,0.0,51.49,2713.25,257.43,491.16
1310,F39610,485.0,144.4,144.4,4850.0,1444.0,340.6
1311,F39610,315.0,57.6,57.6,630.0,115.2,257.4
1312,F39611,1056.55,336.58,336.58,8452.4,2692.66,719.97
1313,F39612,2665.0,108.0,219.9,2665.0,1318.1,1346.9
1314,F39613,717.87,331.49,331.49,1435.74,662.99,386.37
1315,F39615,691.7,186.16,186.16,1383.4,372.32,505.54
1316,F39615,521.04,205.2,205.2,1042.08,410.41,315.84
1317,F39615,350.41,125.68,125.68,1401.64,502.72,224.73
1318,F39618,942.7,0.0,120.76,2576.7,483.02,684.8
1319,F39621,125.0,48.2,48.2,125.0,48.2,76.8
1320,F39622,942.7,485.13,219.9,2576.7,2499.93,684.8
1321,F39624,958.3,157.64,157.64,958.3,157.64,800.66
1322,F39625,802.0,63.9,63.9,802.0,63.9,738.1
1323,F39627,942.7,108.0,219.9,5309.11,1292.27,684.8
1324,F39630,696.0,30.45,30.45,1392.0,60.89,665.55
1325,F39631,1801.38,108.0,219.9,7205.52,625.1,804.98
1326,F39632,2360.0,0.0,219.9,9440.0,625.1,1398.64
1327,F39633,1800.18,0.0,592.18,2576.7,625.1,1208.0
1328,F39634,942.7,108.0,219.9,2576.7,625.1,684.8
1329,F39634,942.7,0.0,219.9,2576.7,625.1,684.8
1330,F39636,195.0,0.0,88.63,1950.0,886.28,106.37
1331,F39637,728.43,0.0,168.53,1456.86,337.07,559.9
1332,F39642,1475.3,301.31,301.31,2576.7,625.1,1173.99
1333,F39643,1318.7,108.0,219.9,1318.7,919.68,399.02
1334,F39645,1009.65,286.34,286.34,1009.65,286.34,723.31
1335,F39647,827.59,227.18,227.18,827.59,227.18,600.41
1336,F39649,873.75,137.33,137.33,873.75,137.33,736.42
1337,F39649,735.0,139.65,139.65,735.0,139.65,595.35
1338,F39654,2177.5,280.14,280.14,2576.7,1680.81,1897.36
1339,F39657,1545.0,89.98,89.98,9270.0,539.86,1455.02
1340,F39659,2220.7,448.24,448.24,2220.7,448.24,1772.46
1341,F39661,942.7,0.0,0.0,7287.4,0.0,684.8
1342,F39661,1512.12,0.0,0.0,2576.7,0.0,1512.12
1343,F39664,1800.69,328.36,328.36,1800.69,328.36,1472.33
1344,F39666,1158.51,78.25,78.25,1158.51,78.25,1080.26
1345,F39671,909.56,0.0,253.9,7276.48,2031.23,655.66
1346,F39672,955.38,158.36,158.36,3821.52,633.45,797.02
1347,F39673,710.0,96.96,96.96,5680.0,775.7,613.04
1348,F39675,1385.5,140.88,140.88,1385.5,140.88,1244.62
1349,F39678,123.0,21.39,21.39,1230.0,213.85,101.61
1350,F39685,980.0,301.12,301.12,5880.0,1806.71,678.88
1351,F39686,980.0,299.53,299.53,8820.0,2695.79,680.47
1352,F39686,1130.5,499.2,499.2,1130.5,499.2,631.3
1353,F39687,155.0,79.01,79.01,465.0,237.03,75.99
1354,F39691,620.35,0.0,127.06,3722.1,762.35,493.29
1355,F39696,942.7,0.0,0.0,2576.7,0.0,684.8
1356,F39700,2220.7,293.13,293.13,2220.7,293.13,1927.57
1357,F39701,1121.7,0.0,291.13,1121.7,291.13,830.57
1358,F39701,1302.15,0.0,196.44,1302.15,196.44,1105.71
1359,F39706,485.0,144.4,144.4,970.0,288.8,340.6
1360,F39716,942.7,108.0,219.9,2576.7,1734.88,684.8
1361,F39719,1457.2,0.0,461.49,2576.7,625.1,995.71
1362,F39721,123.0,21.39,21.39,1230.0,213.85,101.61
1363,F39725,2056.2,466.2,466.2,8224.8,1864.79,1590.0
1364,F39730,315.0,57.6,57.6,315.0,57.6,257.4
1365,F39731,1475.3,315.59,315.59,2576.7,625.1,1159.71
1366,F39732,355.0,119.05,119.05,3550.0,1190.47,235.95
1367,F39733,1385.9,0.0,0.0,4157.7,0.0,1385.9
1368,F39736,1613.26,108.0,668.13,2576.7,625.1,945.13
1369,F39741,420.0,37.65,37.65,1680.0,150.59,382.35
1370,F39743,1166.63,0.0,360.2,2333.26,720.39,806.43
1371,F39748,576.65,0.0,366.62,1153.3,733.23,210.03
1372,F39749,485.0,144.4,144.4,485.0,144.4,340.6
1373,F39749,315.0,57.6,57.6,945.0,172.8,257.4
1374,F39751,942.7,0.0,0.0,3045.5,0.0,684.8
1375,F39752,689.63,227.18,227.18,689.63,227.18,462.44
1376,F39754,942.7,222.14,222.14,6832.0,444.27,684.8
1377,F39757,815.0,222.0,222.0,815.0,222.0,593.0
1378,F39759,1449.3,454.72,454.72,4347.9,1364.17,994.58
1379,F39760,395.29,97.49,97.49,2371.74,584.96,297.8
1380,F39762,266.0,97.3,97.3,1064.0,389.19,168.7
1381,F39762,655.5,306.53,306.53,2622.0,1226.13,348.97
1382,F39763,1435.2,0.0,355.52,1435.2,355.52,1079.68
1383,F39764,2278.45,414.88,414.88,2278.45,414.88,1863.57
1384,F39767,1110.0,0.0,83.4,2220.0,166.8,1026.6
1385,F39770,2056.2,0.0,586.32,8224.8,2345.29,1469.88
1386,F39774,942.7,108.0,219.9,2576.7,625.1,684.8
1387,F39775,942.7,0.0,442.5,2576.7,2212.51,684.8
1388,F39776,976.0,360.7,360.7,1952.0,721.39,615.3
1389,F39776,942.7,108.0,219.9,3730.0,1311.27,684.8
1390,F39776,942.7,108.0,773.21,2576.7,625.1,684.8
1391,F39777,942.7,89.98,179.95,2576.7,1079.71,684.8
1392,F39780,410.0,57.6,57.6,410.0,57.6,352.4
1393,F39788,942.7,0.0,219.9,2576.7,2335.2,684.8
1394,F39791,2494.8,0.0,620.47,2576.7,625.1,1874.33
1395,F39792,700.0,0.0,325.78,1400.0,651.57,374.22
1396,F39793,478.0,0.0,66.31,1434.0,198.93,411.69
1397,F39794,792.11,131.45,131.45,2576.7,625.1,660.66
1398,F39794,798.79,137.63,137.63,7987.9,1376.26,661.16
1399,F39795,729.57,0.0,232.01,3647.85,1160.05,497.56
1400,F39795,737.62,236.2,236.2,3688.1,1181.01,501.42
1401,F39801,1357.5,0.0,405.55,2576.7,625.1,951.95
1402,F39803,1325.07,0.0,0.0,1325.07,0.0,1325.07
1403,F39810,1981.88,0.0,333.62,2576.7,625.1,1648.26
1404,F39811,942.7,0.0,696.46,7460.0,1392.92,684.8
1405,F39812,488.0,107.33,107.33,4880.0,1073.25,380.67
1406,F39813,759.0,0.0,681.52,3036.0,2726.1,77.48
1407,F39815,942.7,0.0,219.9,5668.99,1319.88,684.8
1408,F39815,2300.0,0.0,99.68,2300.0,99.68,684.8
1409,F39816,942.7,0.0,219.9,2576.7,625.1,1772.92
1410,F39817,732.0,0.0,317.5,1464.0,635.0,414.5
1411,F39820,1000.0,226.23,226.23,1000.0,226.23,773.77
1412,F39824,942.7,108.0,219.9,2576.7,625.1,684.8
1413,F39826,1897.27,78.09,78.09,9486.35,390.43,1819.18
1414,F39828,510.0,51.16,51.16,1530.0,153.49,458.84
1415,F39830,1888.0,0.0,294.5,2576.7,1767.02,1593.5
1416,F39830,439.15,0.0,123.21,1317.45,369.62,315.94
1417,F39833,925.82,65.31,65.31,1851.64,130.63,860.51
1418,F39833,1910.5,286.13,286.13,3821.0,572.25,1624.37
1419,F39833,2020.42,421.91,421.91,4040.84,843.82,1598.51
1420,F39833,1177.07,477.16,477.16,2354.14,954.32,699.91
1421,F39834,712.0,102.31,102.31,4272.0,613.88,609.69
1422,F39834,718.6,104.69,104.69,4311.6,628.12,613.91
1423,F39835,2182.35,0.0,596.55,6547.05,1789.64,1585.8
1424,F39837,942.7,108.0,219.9,5909.84,1884.35,684.8
1425,F39838,1406.0,0.0,80.66,2576.7,806.55,1325.34
