,CVE_DOC,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
884,F38758,163.0,72.37,72.37,326.0,144.73,90.63
885,F38758,238.0,97.49,97.49,714.0,292.48,140.51
886,F38760,496.0,144.2,144.2,1488.0,432.6,351.8
887,F38762,976.0,396.78,396.78,3904.0,1587.1,579.22
888,F38762,1475.3,291.48,291.48,2576.7,625.1,1183.82
889,F38763,976.0,0.0,374.14,3904.0,1496.57,601.86
890,F38763,1475.3,290.21,290.21,2576.7,625.1,1185.09
891,F38763,942.7,108.0,219.9,2576.7,625.1,684.8
892,F38764,155.0,62.82,62.82,310.0,125.64,92.18
893,F38771,1007.0,0.0,227.21,4028.0,908.84,779.79
894,F38773,853.0,0.0,156.55,853.0,156.55,696.45
895,F38777,2359.7,338.22,338.22,9438.8,1352.89,2021.48
896,F38778,1139.86,0.0,301.83,1139.86,301.83,838.03
897,F38780,720.0,82.15,82.15,2880.0,328.6,637.85
898,F38784,2464.2,108.0,219.9,7392.6,625.1,1328.67
899,F38785,2068.5,108.0,219.9,4137.0,2523.98,806.51
900,F38786,413.4,91.5,91.5,1653.6,366.02,321.9
901,F38789,785.0,0.0,181.44,785.0,181.44,603.56
902,F38791,942.7,0.0,219.9,5909.84,1884.35,684.8
903,F38792,2235.9,0.0,628.8,4471.8,1257.6,1607.1
904,F38794,1030.0,0.0,282.47,2576.7,625.1,747.53
905,F38795,435.0,0.0,82.37,870.0,164.74,352.63
906,F38796,942.7,0.0,219.9,5251.28,2121.33,684.8
907,F38797,1299.32,430.03,430.03,2576.7,625.1,869.29
908,F38800,1320.0,73.01,73.01,1320.0,73.01,1246.99
909,F38801,483.54,72.97,72.97,483.54,72.97,410.58
910,F38803,155.0,72.37,72.37,155.0,72.37,82.63
911,F38806,490.0,0.0,150.77,2450.0,753.85,339.23
912,F38806,307.0,32.38,32.38,1228.0,129.51,274.62
913,F38807,661.2,31.14,31.14,661.2,31.14,630.06
914,F38809,1696.25,108.0,572.12,3392.5,1144.25,1124.13
915,F38809,2290.12,108.0,219.9,2290.12,917.05,1373.07
916,F38814,2278.45,469.69,469.69,2278.45,469.69,1808.76
917,F38816,735.0,86.15,86.15,2576.7,1292.21,648.85
918,F38817,1587.0,210.34,210.34,6348.0,841.34,1376.66
919,F38821,1598.75,438.86,438.86,4796.25,1316.59,1159.89
920,F38821,2218.0,0.0,219.9,6654.0,625.1,1068.27
921,F38824,785.0,0.0,110.45,785.0,110.45,674.55
922,F38826,916.36,264.47,264.47,2576.7,625.1,651.89
923,F38829,345.0,345.81,345.81,690.0,691.62,-0.81
924,F38829,787.5,0.0,90.71,1575.0,181.42,696.79
925,F38832,154.31,62.95,62.95,154.31,62.95,91.36
926,F38836,120.0,48.2,48.2,120.0,48.2,71.8
927,F38837,1654.34,0.0,183.81,3308.68,367.61,1470.53
928,F38837,2481.59,0.0,0.0,7444.77,0.0,684.8
929,F38838,1130.5,457.78,457.78,4522.0,1831.12,672.72
930,F38841,1284.0,249.45,249.45,1284.0,249.45,1034.55
931,F38850,942.7,108.0,219.9,2576.7,2754.67,684.8
932,F38851,668.0,210.24,210.24,668.0,210.24,457.76
933,F38853,758.5,0.0,120.77,758.5,120.77,637.73
934,F38854,525.0,10.82,10.82,1575.0,32.46,514.18
935,F38857,625.2,43.81,43.81,3751.2,262.85,581.39
936,F38857,625.2,48.94,48.94,1875.6,146.81,576.26
937,F38861,155.0,78.65,78.65,155.0,78.65,76.35
938,F38862,983.0,227.62,227.62,2949.0,682.85,755.38
939,F38863,535.0,0.0,66.88,535.0,66.88,468.12
940,F38864,125.0,48.2,48.2,125.0,48.2,76.8
941,F38864,155.0,62.95,62.95,155.0,62.95,92.05
942,F38867,1048.97,108.0,219.9,1048.97,625.1,684.8
943,F38868,1056.35,348.7,348.7,2112.7,697.4,707.65
944,F38871,985.0,242.78,242.78,1970.0,485.55,742.22
945,F38874,661.2,0.0,31.14,661.2,31.14,630.06
946,F38876,935.0,185.95,185.95,2576.7,625.1,749.05
947,F38880,2177.5,457.71,457.71,2576.7,2746.25,1719.79
948,F38881,1991.0,0.0,182.87,5973.0,548.62,1808.13
949,F38882,123.0,4.8,4.8,1230.0,48.02,118.2
950,F38883,705.5,135.18,135.18,2116.5,405.53,570.32
951,F38883,705.5,136.6,136.6,2116.5,409.8,568.9
952,F38884,606.0,210.24,210.24,4242.0,1471.68,395.76
953,F38887,813.0,260.2,260.2,813.0,260.2,552.8
954,F38889,764.8,216.17,216.17,6118.4,1729.33,548.63
955,F38890,265.08,97.49,97.49,265.08,97.49,167.59
956,F38891,597.0,173.0,173.0,597.0,173.0,424.0
957,F38892,1551.2,0.0,333.77,7756.0,1668.85,1217.43
958,F38894,1584.6,0.0,369.86,1584.6,369.86,1214.74
959,F38900,674.82,0.0,88.53,1349.64,177.06,586.29
960,F38910,942.7,108.0,219.9,2576.7,625.1,684.8
961,F38912,720.0,0.0,129.95,2160.0,389.85,590.05
962,F38913,942.7,0.0,0.0,9700.0,0.0,684.8
963,F38914,653.0,223.04,223.04,653.0,223.04,429.96
964,F38923,1100.0,0.0,43.93,2200.0,87.87,1056.07
965,F38924,2186.0,0.0,219.9,4372.0,2125.57,1123.22
966,F38925,351.64,0.0,144.47,3516.4,1444.71,207.17
967,F38932,1974.31,0.0,360.69,3948.62,721.38,1613.62
968,F38932,2874.31,0.0,219.9,2874.31,886.73,1987.58
969,F38937,2215.0,0.0,610.78,4430.0,1221.56,1604.22
970,F38938,462.0,253.0,253.0,924.0,506.0,209.0
971,F38941,2218.27,0.0,219.9,8873.08,625.1,1013.56
972,F38946,612.6,0.0,71.02,1225.2,142.04,541.58
973,F38947,942.7,0.0,219.9,2576.7,625.1,684.8
974,F38948,781.0,0.0,126.46,9372.0,1517.55,654.54
975,F38949,1180.0,0.0,191.22,2576.7,2868.3,988.78
976,F38950,1475.3,314.44,314.44,2576.7,625.1,1160.86
977,F38951,1144.58,363.31,363.31,2576.7,625.1,781.27
978,F38954,330.8,92.32,92.32,6616.0,1846.35,238.48
979,F38957,2621.15,108.0,741.05,10484.6,2964.18,1880.1
980,F38958,519.14,0.0,119.95,1038.28,239.89,399.19
981,F38959,1443.3,470.05,470.05,1443.3,470.05,973.25
982,F38959,1033.0,0.0,217.51,1033.0,217.51,815.49
983,F38961,295.0,39.22,39.22,295.0,39.22,255.78
984,F38967,386.0,84.41,84.41,3860.0,844.11,301.59
985,F38968,813.1,260.2,260.2,813.1,260.2,552.9
986,F38969,942.7,108.0,219.9,3450.74,1216.54,684.8
987,F38970,225.0,78.65,78.65,225.0,78.65,146.35
988,F38973,2256.35,0.0,219.9,2256.35,927.84,1328.51
